Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),Training Time (sec),Test Samples
Random Forest,91.3,92.0,91.0,91.0,5.0,9641
RBF SVM,87.5,87.0,88.0,85.0,282.0,9641
Logistic Regression,72.7,70.0,73.0,69.0,0.01,9641
